,Unnamed: 0,STATE_NAME,STUSAB,BG_Check_or_Permit,Extreme_Risk_law,No_ShootFirst,CC_Permit_Req,Charleston_Loophole_Closed,Secure_Storage,HighCap_Mags_Prohibited,MinAge_Purch,NoPurch_Violent_Offense,Auth_Deny_Purch,HG_Sales_Sent_To_Law,Open_Carry_Reg,AsWeap_Prohibit,Gun_Rem_Prog,Vio_Inter_Prog_Fund,Prohib_Convict_Dom_Abuse,Prohib_Dom_Abuser_Restrain_Order,Relinq_Convict_Dom_Abuse,Relinq_Restrain_Dom_Abuse,Ghost_Gun_Reg,No_Guns_K12,No_Guns_College,Local_Gun_Laws_Allow,School_Threat_Assess,Fug_Justice_Prohibit,Emer_Restrain_Order_Prohibit,Dealer_Lic_Req,Mental_Report,Consume_Safety,Train_to_Purch,Strong_CC_Auth,Office_Vio,Fel_Prohib,Mental_Prohib,Stalker_Prohib,Wait_Period,Lost_Stolen_Report,No_Carry_Vio_Offense,Notif_Fail_BG,Crime_Gun_Trace,No_Immune_Gun_Industry,Guns_Prohib_State_Cap,Hate_Crime_Prohib,No_Guns_Bars,Microstamp_Handguns,Fund_Victim_Gun_Vio,Pol_Use_Deadly_Force_Std,No_Law_Enforce_Officers_BoR,Qual_Immune_Lmtd,Pol_Use_Force_Collect,Control_Score,Likert_Scale
21,48,Wisconsin,WI,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,1,33.5,Weak
22,32,North Carolina,NC,6.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.0,1,0,0,0,0,0,1,0,0,33.5,Weak
23,26,Nebraska,NE,6.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0.0,0,1,0,0,0,0,1,0,0,31.0,Weak
24,18,Maine,ME,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,25.5,Weak
25,41,Tennessee,TN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,1,0,0.0,1,1,0,0,0,0,0,0,1,24.5,Weak
26,17,Louisiana,LA,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,0,0,1,0,0,0,0,0,0,24.0,Weak
27,39,South Carolina,SC,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,22.5,Weak
28,14,Iowa,IA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,21.5,Weak
29,13,Indiana,IN,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,19.5,VW
30,47,West Virginia,WV,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,19.5,VW
31,42,Texas,TX,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,VW
